S. No.,State,No. of drinking water quality testing laboratories
1,Andaman and Nicobar Islands,11
2,Andhra Pradesh,112
3,Arunachal Pradesh,49
4,Assam,81
5,Bihar,123
6,Chhattisgarh,68
7,Goa,14
8,Gujarat,81
9,Haryana,44
10,Himachal Pradesh,69
11,Jammu & Kashmir,92
12,Jharkhand,30
13,Karnataka,79
14,Kerala,92
15,Ladakh,6
16,Madhya Pradesh,155
17,Maharashtra,177
18,Manipur,13
19,Meghalaya,30
20,Mizoram,27
21,Nagaland,12
22,Odisha,77
23,Puducherry,2
24,Punjab,34
25,Rajasthan,54
26,Sikkim,2
27,Tamil Nadu,113
28,Telangana,75
29,Tripura,21
30,Uttar Pradesh,81
31,Uttarakhand,27
32,West Bengal,220
Total,Total,2071
